City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
316,Nadym,RU,65.5333,72.5167,52.75,73,100,7.94,overcast clouds
317,Cervo,ES,43.6702,-7.4101,66.96,75,91,13.67,overcast clouds
318,Havoysund,NO,70.9963,24.6622,46.63,89,100,26.53,light rain
319,Beloha,MG,-25.1667,45.05,76.12,55,44,7.9,scattered clouds
320,Ghanzi,BW,-21.5667,21.7833,80.58,9,0,9.15,clear sky
321,Derzhavinsk,KZ,51.1,66.3167,54.64,34,62,10.42,broken clouds
322,Esfarayen,IR,37.0765,57.5101,70.18,41,0,9.26,clear sky
323,Silver City,US,32.7701,-108.2803,76.68,38,0,1.99,clear sky
324,Black River,JM,18.0264,-77.8487,87.03,60,25,4.54,scattered clouds
325,Pisco,PE,-13.7,-76.2167,60.85,88,100,6.91,overcast clouds
326,Ambon,ID,-3.6954,128.1814,80.24,13,40,5.75,scattered clouds
327,Tekirdag,TR,40.978,27.5085,87.15,42,44,14.65,scattered clouds
328,Ola,RU,59.5833,151.2833,42.35,57,22,8.19,few clouds
329,Marystown,CA,47.1666,-55.1483,58.78,82,84,26.26,light rain
330,Ipixuna,BR,-1.7625,-48.8043,94.03,44,97,4.61,overcast clouds
331,Myitkyina,MM,25.3833,97.4,73.26,98,48,1.21,scattered clouds
332,Namatanai,PG,-3.6667,152.4333,79.56,77,82,10.42,broken clouds
333,Tornio,FI,65.8481,24.1466,53.62,91,98,14.7,light rain
334,Mitsamiouli,KM,-11.3847,43.2844,76.15,73,4,6.29,clear sky
335,Whakatane,NZ,-37.9585,176.9854,48.51,92,88,1.01,overcast clouds
336,Natal,BR,-5.795,-35.2094,86.65,54,75,14.97,broken clouds
337,Kajaani,FI,64.2273,27.7285,53.65,87,20,6.91,few clouds
338,Togur,RU,58.3631,82.8265,43.72,86,74,0.45,broken clouds
339,Krasnoselkup,RU,65.7,82.4667,42.03,68,100,9.19,overcast clouds
