City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Kahta,TR,2022-09-13 15:37:50,37.7855,38.6237,85.37,30,0,14.03
285,Deolali,IN,2022-09-13 15:37:50,19.95,73.8333,72.32,96,100,9.64
286,Itarema,BR,2022-09-13 15:35:21,-2.9248,-39.9167,87.98,53,9,18.79
287,Grindavik,IS,2022-09-13 15:37:51,63.8424,-22.4338,48.15,87,100,5.75
288,Belaya Gora,RU,2022-09-13 15:37:51,68.5333,146.4167,35.51,73,11,7.11
289,Qinhuangdao,CN,2022-09-13 15:37:51,39.9317,119.5883,69.22,78,0,11.59
290,Itaueira,BR,2022-09-13 15:37:52,-7.6033,-43.0256,97.95,18,3,7.18
291,Lavrentiya,RU,2022-09-13 15:37:52,65.5833,-171.0,45.48,91,100,6.11
292,Erzin,TR,2022-09-13 15:37:52,36.9559,36.2,75.97,78,55,8.12
293,Tigil,RU,2022-09-13 15:37:53,57.8,158.6667,42.03,94,100,3.36
